com.ess.scripts.VerifyLoginLogout 2018-01-04 21:25:16,303 com.ess.common.BaseTest.postCondition(BaseTest.java:137) explicit logout required 
org.apache.http.client.protocol.RequestAddCookies 2018-01-04 21:28:27,530 org.apache.http.client.protocol.RequestAddCookies.process(RequestAddCookies.java:122) CookieSpec selected: default 
org.apache.http.client.protocol.RequestAuthCache 2018-01-04 21:28:27,568 org.apache.http.client.protocol.RequestAuthCache.process(RequestAuthCache.java:76) Auth cache not set in the context 
org.apache.http.impl.conn.PoolingHttpClientConnectionManager 2018-01-04 21:28:27,568 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.requestConnection(PoolingHttpClientConnectionManager.java:249) Connection request: [route: {}->http://localhost:36450][total kept alive: 0; route allocated: 0 of 2000; total allocated: 0 of 2000] 
org.apache.http.impl.conn.PoolingHttpClientConnectionManager 2018-01-04 21:28:27,584 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.leaseConnection(PoolingHttpClientConnectionManager.java:282) Connection leased: [id: 0][route: {}->http://localhost:36450][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000] 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:28:27,584 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:234) Opening connection {}->http://localhost:36450 
org.apache.http.impl.conn.DefaultHttpClientConnectionOperator 2018-01-04 21:28:27,584 org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:131) Connecting to localhost/127.0.0.1:36450 
org.apache.http.impl.conn.DefaultHttpClientConnectionOperator 2018-01-04 21:28:27,584 org.apache.http.impl.conn.DefaultHttpClientConnectionOperator.connect(DefaultHttpClientConnectionOperator.java:138) Connection established 127.0.0.1:62112<->127.0.0.1:36450 
org.apache.http.impl.conn.DefaultManagedHttpClientConnection 2018-01-04 21:28:27,584 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.setSocketTimeout(LoggingManagedHttpClientConnection.java:90) http-outgoing-0: set socket timeout to 10800000 
org.apache.http.impl.execchain.MainClientExec 2018-01-04 21:28:27,584 org.apache.http.impl.execchain.MainClientExec.execute(MainClientExec.java:255) Executing request POST /session HTTP/1.1 
